pct_fragments	fragments_clade	fragments_direct	minimizers	distinct_minimizers	rank_code	taxid	name	sample	is_host	total_distinct_minimizers_non_host	minimizer_proportion_sample	neg_control_prop	signal_over_neg	db_pct	db_clade_minimizers	db_taxon_minimizers	db_rank_code	db_name	genome_coverage_estimate	taxon_mean_prop	taxon_sd_prop	n_samples_with_taxon	z_score	p_value	fdr	z_score_neg	p_value_neg	fdr_neg
0.0	1.0	1.0	1.0	1.0	S	3114394	Pengzhenrongella phosphoraccumulans	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1352369.0	1352369.0	S	Pengzhenrongella phosphoraccumulans	7.394431549377426e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	0.0	1.0	1.0	S	247333	Serinicoccus marinus	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	797498.0	0.0	S	Serinicoccus marinus		8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	2.0	1.0	S	3402691	Promicromonospora sp. NFX87	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1758200.0	1758200.0	S	Promicromonospora sp. NFX87	5.687635081333182e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	1758466	Corynebacterium faecale	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	918160.0	918160.0	S	Corynebacterium faecale	1.089134791321774e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	3031999	Rhodococcus sp. RCBS9	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	48209.0	48209.0	S	Rhodococcus sp. RCBS9	2.0743014789769545e-05	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	745408	Rhodococcus sp. JVH1	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	612195.0	612195.0	S	Rhodococcus sp. JVH1	1.6334664608498925e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	486698	Mycobacterium riyadhense	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1908340.0	1908340.0	S	Mycobacterium riyadhense	5.240156366265969e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.06	59.0	59.0	81.0	1.0	S	1961	Streptomyces virginiae	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.02	4394708.0	4394708.0	S	Streptomyces virginiae	2.2754640353807352e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.01	12.0	12.0	111.0	1.0	S	3118085	Streptomyces sp. SCSIO 30461	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1822991.0	1822991.0	S	Streptomyces sp. SCSIO 30461	5.485490603080322e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	3.0	3.0	13.0	1.0	S	2903820	Streptomyces sp. NBC_01310	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	865744.0	865744.0	S	Streptomyces sp. NBC_01310	1.1550758653828383e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	2.0	2.0	2.0	1.0	S	2903887	Streptomyces sp. NBC_01506	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1569639.0	1569639.0	S	Streptomyces sp. NBC_01506	6.370891650882783e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	2944250	Streptomyces sp. M92	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1080733.0	1080733.0	S	Streptomyces sp. M92	9.252979227986931e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	3434395	Streptomyces sp. S186	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1321760.0	1321760.0	S	Streptomyces sp. S186	7.565670015736593e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	4.0	1.0	S	42684	Streptomyces collinus	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.02	3290447.0	3068516.0	S	Streptomyces collinus	3.258904304230449e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	67350	Streptomyces pseudovenezuelae	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	2619034.0	2619034.0	S	Streptomyces pseudovenezuelae	3.818201672830517e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	2.0	1.0	S	461393	Actinomyces massiliensis	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	960822.0	960822.0	S	Actinomyces massiliensis	1.040775502642529e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	3118084	Saccharopolyspora sp. SCSIO 74807	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1814509.0	1814509.0	S	Saccharopolyspora sp. SCSIO 74807	5.511132763739392e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	2745196	Amycolatopsis sp. CA-230715	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.02	2840923.0	2840923.0	S	Amycolatopsis sp. CA-230715	3.5199827661643767e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	624315	Phytohabitans suffuscus	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	2505795.0	2505795.0	S	Phytohabitans suffuscus	3.990749442791609e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	2.0	1.0	S	508451	Lactobacillus taiwanensis	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	408372.0	408372.0	S	Lactobacillus taiwanensis	2.4487477104208907e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	199.0	1.0	S	109790	Lactobacillus jensenii	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	475353.0	475353.0	S	Lactobacillus jensenii	2.103699776797454e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.01	6.0	6.0	91.0	1.0	S	2048654	Solibacillus sp. R5-41	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1190808.0	1190808.0	S	Solibacillus sp. R5-41	8.397659404370814e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	2.0	1.0	S	3110539	Paenibacillus silvisoli	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	2017217.0	2017217.0	S	Paenibacillus silvisoli	4.957324868866364e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	15.0	1.0	S	2918900	Paenibacillus aurantius	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1959531.0	1959531.0	S	Paenibacillus aurantius	5.103261954008383e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	2.0	2.0	4.0	1.0	S	411483	Faecalibacterium duncaniae	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	267238.0	267238.0	S	Faecalibacterium duncaniae	3.741982801847043e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	3.0	1.0	S	1442555	Synechococcus sp. NOUM97013	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	713640.0	713640.0	S	Synechococcus sp. NOUM97013	1.4012667451376043e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	3.0	1.0	S	2732530	Synechocystis sp. PCC 7338	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	102299.0	102299.0	S	Synechocystis sp. PCC 7338	9.775266620397071e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	3035696	Leptothermofonsia sp. ETS-13	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1732863.0	1732863.0	S	Leptothermofonsia sp. ETS-13	5.77079665270711e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	0.0	65.0	1.0	S	5875	Theileria parva	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	2345319.0	0.0	S	Theileria parva		8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	0.0	2.0	1.0	S	68886	Theileria orientalis	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	2717148.0	0.0	S	Theileria orientalis		8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	2.0	1.0	S	145261	Methanothermobacter wolfeii	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	74729.0	74729.0	S	Methanothermobacter wolfeii	1.3381685824780206e-05	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	42879	Methanococcus aeolicus	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	473030.0	405094.0	S	Methanococcus aeolicus	2.468562852078777e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	0.0	2.0	1.0	S	29388	Staphylococcus capitis	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1591277.0	1338790.0	S	Staphylococcus capitis	7.469431352191158e-07	8.407792568631515e-05	0.00021204342403570689	11	-0.007498900986533161	0.502991600622009	0.7883334885623063	-0.30151134457776363	0.6184876997235025	0.7821153265329324
0.01	11.0	11.0	18.0	2.0	S	1282	Staphylococcus epidermidis	MG-Run35-Ech-11	False	12123.0	0.00016497566608925183	0.00016497566608925183	0.0	0.02	2965890.0	2954148.0	S	Staphylococcus epidermidis	6.770141509497831e-07	0.00023769749137892272	0.00048054017923111314	12	-0.15133349599617088	0.5601436762161323	0.7883334885623063	-0.3503716201515529	0.6369700889786709	0.7855860836794928
0.0	1.0	1.0	11.0	6.0	S	1613	Limosilactobacillus fermentum	MG-Run35-Ech-11	False	12123.0	0.0004949269982677555	0.0004949269982677555	0.0	0.02	3053827.0	3007255.0	S	Limosilactobacillus fermentum	1.9951750017873445e-06	0.0009946758842883073	0.0021967662752624957	6	-0.22749297075804564	0.5899797827566029	0.7883334885623063	-0.4082482904638631	0.6584543008451956	0.7855860836794928
