sample	reference	mapq_min	read_count	neg_read_count	z_score	p_value	gtdb_taxonomy	ncbi_taxid
MG-Run35-Ech-5	GCF_000236925.1	25	26	0	36.062445840513924	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus argenteus	985002.0
MG-Run35-Ech-5	GCF_010868145.1	25	25	0	34.648232278140824	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_D	135487.0
MG-Run35-Ech-5	GCF_014838735.1	25	23	0	31.819805153394636	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus portuensis	2742601.0
MG-Run35-Ech-5	GCF_009932725.1	25	22	0	30.40559159102154	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E yangonensis	2579922.0
MG-Run35-Ech-5	GCF_023520795.1	25	19	0	26.162950903902257	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium accolens	38284.0
MG-Run35-Ech-5	GCF_000688415.1	25	18	0	24.74873734152916	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium pseudodiphtheriticum	37637.0
MG-Run35-Ech-5	GCF_900453105.1	25	17	0	23.33452377915607	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella ovis	29433.0
MG-Run35-Ech-5	GCA_002578045.1	25	16	0	21.920310216782973	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus_AK	1396.0
MG-Run35-Ech-5	GCF_018252635.1	25	16	0	21.920310216782973	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A amalonaticus_E	35703.0
MG-Run35-Ech-5	GCA_010604095.1	25	16	0	21.920310216782973	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp000187445	1316412.0
MG-Run35-Ech-5	GCF_000368145.1	25	15	954	-30.409467695287574	1.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae	2929509.0
MG-Run35-Ech-5	GCF_000379965.1	25	15	0	20.506096654409877	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella nanceiensis	425941.0
MG-Run35-Ech-5	GCF_000314675.2	25	13	11	0.4423258684646914	0.32912670715564163	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia broomeae	1871052.0
MG-Run35-Ech-5	GCF_000165735.1	25	13	0	17.677669529663685	0.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Anaeroglobus;s__Anaeroglobus micronuciformis	2997918.0
MG-Run35-Ech-5	GCF_001073085.1	25	13	0	17.677669529663685	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae_M	257758.0
MG-Run35-Ech-5	GCF_000377625.1	25	11	0	14.849242404917497	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella veroralis	649761.0
MG-Run35-Ech-5	GCF_003862485.1	25	11	0	14.849242404917497	0.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__Lachnoanaerobaculum orale	467210.0
MG-Run35-Ech-5	GCF_001075875.1	25	11	0	14.849242404917497	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_I	1303.0
