sample	taxid	name	cub_pct_fragments	cub_fragments_clade	cub_fragments_direct	cub_minimizers	cub_distinct_minimizers	cub_rank_code	cub_is_host	cub_total_distinct_minimizers_non_host	cub_minimizer_proportion_sample	cub_neg_control_prop	cub_signal_over_neg	cub_db_pct	cub_db_clade_minimizers	cub_db_taxon_minimizers	cub_db_rank_code	cub_db_name	cub_genome_coverage_estimate	cub_taxon_mean_prop	cub_taxon_sd_prop	cub_n_samples_with_taxon	cub_z_score	cub_p_value	cub_fdr	cub_z_score_neg	cub_p_value_neg	cub_fdr_neg	sample_right	taxid_right	gtdb_taxonomy	bam_reference	bam_mapq_min	bam_read_count	bam_neg_read_count	bam_z_score	bam_p_value	bam_ncbi_taxid
MG-Run35-Ech-12	1628248	Empedobacter stercoris	0.0	1.0	1.0	1.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	371133.0	371133.0	S	Empedobacter stercoris	2.6944518541870433e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	1849015	Arcobacter acticola	0.0	2.0	2.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	684548.0	684548.0	S	Arcobacter acticola	1.4608179411816263e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	1660080	Campylobacter sp. RM16192	0.0	1.0	1.0	14.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	405906.0	405906.0	S	Campylobacter sp. RM16192	2.463624583031539e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	3131933	Thiomicrolovo zhangzhouensis	0.0	1.0	1.0	3.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	519615.0	519615.0	S	Thiomicrolovo zhangzhouensis	1.9245017945979234e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2590021	Sulfurimonas xiamenensis	0.0	1.0	1.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	132461.0	132461.0	S	Sulfurimonas xiamenensis	7.549391896482738e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2922727	Sulfurimonas sp. NW7	0.0	3.0	3.0	11.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	74809.0	74809.0	S	Sulfurimonas sp. NW7	0.00001336737558315176	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	844	Wolinella succinogenes	0.0	91.0	91.0	873.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	659848.0	659193.0	S	Wolinella succinogenes	1.5170064002500026e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2678518	Acidithiobacillus ferrianus	0.0	1.0	1.0	21.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	879684.0	879684.0	S	Acidithiobacillus ferrianus	1.1367718407973773e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	1697043	Bordetella sp. H567	0.0	2.0	2.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1471256.0	1471256.0	S	Bordetella sp. H567	6.796913657446427e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	3095609	Herbaspirillum sp. DW155	0.0	1.0	1.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1152923.0	1152923.0	S	Herbaspirillum sp. DW155	8.673606129810924e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	3404065	Pseudoduganella sp. S-14	0.0	1.0	1.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1071486.0	1071486.0	S	Pseudoduganella sp. S-14	9.332833093479523e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	864828	Pseudoduganella umbonata	0.0	1.0	1.0	9.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1700973.0	1700973.0	S	Pseudoduganella umbonata	5.878988085054848e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	55508	Janthinobacterium agaricidamnosum	0.0	1.0	0.0	1.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1867076.0	270388.0	S	Janthinobacterium agaricidamnosum	3.6983889817595456e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	93218	Pandoraea apista	0.0	4.0	4.0	18.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1727949.0	1727949.0	S	Pandoraea apista	5.787207840046205e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	3349635	Oceanicaulis sp. LC35	0.0	1.0	1.0	6.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	894156.0	894156.0	S	Oceanicaulis sp. LC35	1.1183730803126076e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	3133972	Sphingomicrobium maritimum	0.0	1.0	1.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	690456.0	690456.0	S	Sphingomicrobium maritimum	1.4483182128911909e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	3078805	Parvularcula sp. LCG005	0.0	6.0	6.0	10.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	957729.0	957729.0	S	Parvularcula sp. LCG005	1.0441367025536451e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	257708	Roseomonas gilardii	0.0	1.0	0.0	1.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	2082753.0	1141671.0	S	Roseomonas gilardii	8.759090841407025e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	318683	Gluconobacter albidus	0.0	1.0	1.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	884550.0	884550.0	S	Gluconobacter albidus	1.1305183426601096e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	3374551	Caulobacter sp. UC70_42	0.0	1.0	1.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1319109.0	1319109.0	S	Caulobacter sp. UC70_42	7.580874666157232e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	1177216	Candidatus Profftia tarda	0.0	2.0	2.0	4.0	1.0	S	false	347386.0	2.878642202046139e-6	0.00008248783304462591	0.0	0.0	356991.0	356991.0	S	Candidatus Profftia tarda	2.801191066441451e-6	0.000042683237623336024	0.00005629219868956216	2	-0.7071067811865475	0.7602499389065233	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2675793	Enterobacteriaceae endosymbiont of Plateumaris braccata	0.0	74.0	74.0	455.0	1.0	S	false	347386.0	2.878642202046139e-6	0.00008248783304462591	0.0	0.0	55490.0	55490.0	S	Enterobacteriaceae endosymbiont of Plateumaris braccata	0.000018021265092809516	0.000042683237623336024	0.00005629219868956216	2	-0.7071067811865475	0.7602499389065233	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	3376155	Enterobacter sp. BNK-18	0.0	3.0	3.0	8.0	1.0	S	false	347386.0	2.878642202046139e-6	0.00008248783304462591	0.0	0.0	33312.0	33312.0	S	Enterobacter sp. BNK-18	0.000030019212295869356	0.000042683237623336024	0.00005629219868956216	2	-0.7071067811865475	0.7602499389065233	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	289370	Phytopseudomonas argentinensis	0.0	2.0	2.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.00008248783304462591	0.0	0.0	835248.0	835248.0	S	Phytopseudomonas argentinensis	1.1972492002375342e-6	0.000042683237623336024	0.00005629219868956216	2	-0.7071067811865475	0.7602499389065233	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2686094	Terricaulis silvestris	0.0	28.0	28.0	68.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1174245.0	1174245.0	S	Terricaulis silvestris	8.516110351757938e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	3374196	Candidatus Pelagibacter bacterium nBUS_49	0.0	34.0	34.0	4078.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	224988.0	224988.0	S	Candidatus Pelagibacter bacterium nBUS_49	4.444681494124131e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	43057	Cereibacter azotoformans	0.0	15.0	15.0	203.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1786043.0	1786043.0	S	Cereibacter azotoformans	5.598969341723576e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2066024	Candidatus Cytomitobacter primus	0.0	2.0	2.0	280.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	182524.0	182524.0	S	Candidatus Cytomitobacter primus	5.478731564068287e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	69539	Moritella yayanosii	0.0	15.0	15.0	26.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1210761.0	1210761.0	S	Moritella yayanosii	8.259268344454439e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
